2023|Burrow me Now|32692,33966,33398,32671,28592,34207,31905,34054,40042,27540
2023|Two Girls One Kupp|30121,30161,32723,31840,30994,34047,33971,0,40039,31010
2023|What is football?|30423,33394,32703,33963,30218,31019,30180,32685,31857,32675
2023|I want to go home mahomes|33393,31856,33413,31885,28457,33392,31838,0,26534,33415
2023|Beauty & the Beast Mode|29399,30123,33412,33996,33989,30197,30120,30142,32732,29281
2023|Ridley Me This|30972,30996,34063,26699,33389,33423,34007,34009,31137,28654
2023|Go Cowboys|30182,29279,30295,33991,7200,30259,32704,0,32858,30227
2023|Akuma's Team|26686,33500,33508,28392,32711,32695,29369,0,33537,40041
2023|AI AI Captain|40055,27581,30977,31056,26650,30154,32705,31017,32798,40075
2023|The Injured Reserve|31005,33965,40059,31002,31898,32722,33443,0,30346,30247
2023|P.E.K.K.A.|28534,31883,31868,31934,32676,34019,33605,27535,27548,30125
2023|Midas|32687,31960,31896,32725,31908,33399,30136,0,30426,32736
