2021|Akuma's Team|30121,32692,31883,32695,33392,33423,5228,0,26534,29307
2021|Such A Helaireous Thielen|30154,32702,27535,31002,27277,32676,29288,28403,30209,31882
2021|What is football?|30180,26699,30362,24793,31056,31104,24171,30218,9265,25876
2021|Go Cowboys|29238,31896,28592,31856,28514,29785,7200,0,30346,31051
2021|Midas|29279,26650,27589,28457,31919,27648,32723,0,30426,30247
2021|The Injured Reserve|31005,30161,31908,30182,31840,28654,33393,32756,25718,31019
2021|Pfe Pfi Pfo Pfum|30295,30996,31905,30994,33476,29369,29344,27548,32732,33398
2021|Shake n Baker|29399,33412,32687,32705,30199,27540,31010,30777,31001,32704
2021|P.E.K.K.A.|27581,32736,33138,31424,31833,32685,31852,0,25881,32231
2021|I want to go home mahomes|30972,30123,30259,28392,31902,32719,31868,30175,29281,33389
2021|Two Girls One Kupp|26686,28534,30977,26664,32703,32066,0,31008,29255,30117
2021|Let Russ Cook|32711,30423,30197,31885,31898,25785,30118,30120,24017,32712
